first_name,last_name,department,position,hire_date,salary,email,phone,status,manager_id
Chad,Smith,IT,Team Lead,2021/06/17,9519.45,vmitchell@example.net,528.606.8353,inactive,
Jaime,Harding,IT,Software Engineer,2023/05/21,3632.94,randyboyd@example.org,+1-588-538-7730x7742,terminated,
Hayley,Huff,Marketing,Content Manager,2024/03/05,2286.35,sharmon@example.org,"2835984713",terminated,
Terri,Sanchez,Finance,Accountant,2017/12/23,8728.5,sandra97@example.org,001-212-349-5463x16015,terminated,
Kristen,Morgan,Finance,Accountant,2016/01/08,5147.5,longwhitney@example.net,579-402-6919x396,terminated,
Jennifer,James,Marketing,SEO Specialist,2024/04/03,2521.36,joshuabowers@example.net,+1-537-525-0571x89780,terminated,
Jeffrey,Harris,Finance,CFO,2021/09/09,5012.87,reginaldsmith@example.net,340-769-2968x6810,inactive,
Nancy,Smith,HR,HR Manager,2018/02/11,8476.96,austinbanks@example.org,001-387-630-1241x902,active,
Michael,Bennett,Sales,Sales Manager,2016/01/16,5546.66,mdoyle@example.com,001-385-356-2685,inactive,
Erik,Jackson,HR,HR Manager,2017/11/07,4113.74,susanprice@example.com,+1-833-375-2274,active,
Andrew,Rose,HR,HR Manager,2020/10/25,7552.06,yferguson@example.net,"6225304995",terminated,
Robin,Martinez,Marketing,Content Manager,2018/09/09,7812.74,garciamary@example.net,435.860.9914x2576,inactive,
Erin,Williams,IT,Software Engineer,2021/01/28,3225.92,edwarddean@example.org,226-685-7167x3389,inactive,
Rebekah,Yang,HR,Recruiter,2016/08/06,8553.79,williampayne@example.org,+1-839-746-5519x3582,active,
Erin,Johnson,HR,Recruiter,2024/10/30,2213.29,ythompson@example.net,616-535-0595x503,inactive,
Jeffrey,Chapman,IT,DevOps Engineer,2016/04/28,2917.28,tammysmith@example.com,+1-348-863-6027x4305,inactive,
Jacob,Williams,Finance,CFO,2022/01/18,5435.5,stevenspatrick@example.com,611.201.1736,terminated,
Paul,Bates,Finance,CFO,2025/06/14,6700.59,lkelly@example.net,"9638712535",active,
Melissa,Saunders,HR,Recruiter,2024/11/26,8728.89,sheltonronald@example.com,+1-687-331-0743x85849,active,
Amanda,Chambers,HR,HR Manager,2017/01/06,6109.72,mannernest@example.org,587.397.9102,terminated,
